,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
4055,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,25447,tt0096223,en,Tapeheads,"The story of Ivan and Josh, two dim witted ex-security guards who love music videos. Out of work, with no job prospects, they form a music video production company. They soon learn the in's and out's of the business in LA and with some help from Mo Fuzz, they soon become hot property. But not all goes smoothly when they try to resurrect the career of their favorite R&amp;B duo, the Swanky Modes.",1.693701,/4zpTlTAowEaKM7wzzRvOtzCPqee.jpg,"[{'name': 'Peter McCarthy / Front Films', 'id': 4391}, {'name': 'Pacific Arts Video', 'id': 4392}]",[],1988-10-21,343786.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Tapeheads,False,5.4,17.0
37876,False,"{'id': 415931, 'name': 'The Bowery Boys', 'poster_path': '/q6sA4bzMT9cK7EEmXYwt7PNrL5h.jpg', 'backdrop_path': '/foe3kuiJmg5AklhtD3skWbaTMf2.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,184328,tt0043071,en,Triple Trouble,Slip and the gang (Bowery Boys) take the rap for a robbery they did not commit.,0.098143,/tAF1mhoZIGstM1KWiRFfT98JNv4.jpg,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1950-08-13,0.0,67.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"THEY'VE GOT THOSE ""JAIL-BOID"" BLUES! Leo talked them into the big house...but even Huntz can't clown his way out!",Triple Trouble,False,6.0,1.0
30758,False,,0,"[{'id': 99, 'name': 'Documentary'}]",,144390,tt2279353,en,The Startup Kids,"The Startup Kids is a documentary about young web entrepreneurs in the U.S. and Europe. It contains interviews with founders of Vimeo, Dropbox, Soundcloud and more who talk about how they started their company and their lives as an entrepreneur. Along with that people from the tech scene speaks about the startup environment including the venture capitalist Tim Draper and MG Siegler, tech blogger at Techcrunch.",0.706199,/2FEQXC44LIroas9NCL5fdt0vRo5.jpg,[],[],2012-12-01,0.0,55.0,[],Released,,The Startup Kids,False,6.3,6.0
43974,False,,0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",,266135,tt0076794,en,Tail Gunner Joe,"A dramatization of the life of Sen. Joseph McCarthy, the alcoholic senator from Wisconsin whose tactics of accusing prominent people of Communist sympathies were initially designed to give him a national power base when he later planned to run for President.",0.048761,/z7hVXZb9pm7vZ4yaJF9WPCAXpQ.jpg,[],[],1977-02-06,0.0,145.0,[],Released,,Tail Gunner Joe,False,5.0,1.0
4897,False,"{'id': 93295, 'name': '48 Hrs. Collection', 'poster_path': '/8Dlcb8aDch6sUcWBc8zSSfNbPgG.jpg', 'backdrop_path': '/hRaxX6WmtukiBvi8ru7RFVQiDYk.jpg'}",38000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,11595,tt0099044,en,Another 48 Hrs.,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",6.938921,/gqorSVKGtBPyJrCVd6507O9NYfw.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-06-08,153518974.0,95.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The boys are back in town.,Another 48 Hrs.,False,5.8,205.0
6617,False,,0,[],,287816,tt0204933,en,Camera Obscura,A psychological thriller about an LAPD crime scene photographer who tries to confront his fears by setting his own boundaries on reality and illusion.,0.037259,,[],[],2000-02-06,0.0,0.0,[],Released,,Camera Obscura,False,3.0,1.0
32491,False,,0,[],,118553,tt0119689,fr,La Moindre des choses,"Documentary. The tranquil woods of the Loire Valley embrace the La Borde psychiatric clinic, an asylum in the truest sense of the word, where patients find sanctuary and repose. Patients and staff work together in rehearsals and preparations for their annual summer play. This year, they perform the modernist, absurdist classic, ""Operette,"" by Witold Gombrowicz, whose dialogue is more nonsensical than that of the patients themselves.",0.038727,/vkuZ1qx7qMeZCySrropWax3wE4c.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1997-03-05,0.0,105.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Every Little Thing,False,5.0,1.0
32844,False,,0,"[{'id': 27, 'name': 'Horror'}]",,298865,tt3397556,en,Lost After Dark,"A group of teens sneak out of their high school dance to cruise around and have some unsupervised fun. When their car runs out of gas on a deserted road, they discover an old farmhouse and the cannibal killer living inside.",2.173072,/mOyNK4g3qUk5xBqsF2OH4cifAtB.jpg,"[{'name': 'Goldrush Entertainment', 'id': 53169}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2014-09-19,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,And you thought the '80s were dead...,Lost After Dark,False,4.7,35.0
8698,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,760,tt0069747,fr,Les aventures de Rabbi Jacob,"In this riot of frantic disguises and mistaken identities, Victor Pivert, a blustering, bigoted French factory owner, finds himself taken hostage by Slimane, an Arab rebel leader. The two dress up as rabbis as they try to elude not only assasins from Slimane's country, but also the police, who think Pivert is a murderer. Pivert ends up posing as Rabbi Jacob, a beloved figure who's returned to France for his first visit after 30 years in the United States. Adding to the confusion are Pivert's dentist-wife, who thinks her husband is leaving her for another woman, their daughter, who's about to get married, and a Parisian neighborhood filled with people eager to celebrate the return of Rabbi Jacob.",7.18207,/ml5QwbOcDMOaKBOZUZpjg8QsGBh.jpg,"[{'name': 'Les Films Pomereu', 'id': 459}, {'name': 'Horse Film', 'id': 460}, {'name': 'Société Nouvelle de Cinématographie (SNC)', 'id': 16670}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1973-10-17,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'yi', 'name': ''}]",Released,,The Mad Adventures of Rabbi Jacob,False,7.1,183.0
11903,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,43229,tt0050567,en,Johnny Tremain,"When an injury bars him from pursuing his trade, Revolutionary War-era silversmith's apprentice Johnny Tremain (Hal Stalmaster) finds a new life in the ranks of the Sons of Liberty army, taking part in the Boston Tea Party and Paul Revere's legendary ride. Based on the novel by Ester Forbes, this Disney classic was originally crafted for ""Walt Disney Presents"" in two segments, which have been blended into a single film for viewing.",1.403067,/fX6lTE9CaUD7xzSa0vfeF5tDtom.jpg,"[{'name': 'Walt Disney Productions', 'id': 3166}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1957-06-15,0.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Hungry for Adventure...Burning to Fight!,Johnny Tremain,False,5.7,8.0
